 September 2022,5,Great Hotel in Casablanca,"Although we only stayed one night in the hotel, the staff made us feel welcome and valued. At the time of check-in, we were advised they upgrade our room, which was wonderful, especially after a long journey. The room was very spacious and had a lovely view of the city. We would highly recommend this hotel!",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 September 2022,5,Le Casablanca hotel,"Le Casablanca hotel is a fantastic 5 stars venue. Has anything you need for your relaxing time or business trip a beautiful indoor bar, 2 restaurants, an outdoor swimming pool,SPA and a meeting room. The continental breakfast it’s nice and big and the staff really welcoming. We had a massage in the Spa and was something you really want to try.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 September 2022,5,Amazing Hotel,"it's been 13 years that I travel around the world and I can recognize a good hotel and this is definitely an high ending hotel, Perfectly curated in each single details, rooms are big, clean and modern and the kitchen is just so delicious. I highly recommend this hotel for a nice and quite stay in Casablanca, you will have the opportunity to do an experience with an authentic moroccan spa and chill by the beautiful pool. Beautiful!",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 September 2022,5,Casablanca Hotel is the best hotel in Casa!,"I enjoyed my stay here, the staff and service were excellent. Ambience in the hotel in the evening was perfectly relaxing, piano music and nice atmosphere. The beds are SO comfortable! The staff was very friendly and attentive. I loved my stay here!",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 September 2022,2,Disappointed,This is supposed to be five star. Very disappointing. Gym is awful. Had to go outside. Sometimes resto staff very unresponsive. I had to ask many times for a drink before it was served. I would not stay there on my next trip to Casablanca.,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 September 2022,5,Luxury in Casablanca!!!!,"I've just spent 3 nights in this opulent hotel. From the moment we walked through the door our experience has been amazing. From the rooms, to the amazing food in Terrace Jasmine not forgetting the ever helpful & courteous staff it has been an exceptional stay. A special mention to ' The Best Bar Man in Casablanca' Adnane who looked went that little bit further to make sure our stay was special. I highly recommend this hotel.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 September 2022,5,"Beautiful & Elegant, Great staff","Excellent hotel in Casablanca, Classy and friendly. Nice piano playing in the lobby. A little expensive but quite elegant. Restaurant & Bar has good food & drink. Nice pool. The staff was helpful and the suites we had (both Orient Express & Art Deco) were awesome. Nice area, safe to walk around, good amount of restaurants.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 August 2022,5,A very comfortable stay,"I had another stay at Le Casablanca. I would personally like to thank Mr. Sefrioui who has all the professionalism and discretion of a good manger, Ahmed and Saied for being so accommodating and Mohamed who is always so incredibly helpful and diligent. Around the hotel, Zineb and Tarik at breakfast, alongside Abdelfattah by the pool are always very professional and welcoming. My only room for improvement would be service on the gorgeous terrace which can sometimes take a little too long. With prices having increased, service would improve in correlation. This remains however, the best hotel in Casablanca (especially if the Cigar stocks are replenished!)",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 August 2022,5,Wonderful stay,Polite Staff.. Excellent Service .. Delicious Food.. Professionals Housekeeping.. Cooperative Front office .. Beautiful View.. The suite was comfortable.. Everything was great.. Thank you .. Mohamed Atta Director of Operations -- Raffles Makkah Place,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 August 2022,2,Not a 5 star room or experience,Room very dated and scratched up. Hair dryer didn't work. Rude service at Front Desk. Chased us out to taxi at 4 am to sign cc left on file Never treated like this before. Pool very nice but rest needs help,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
